Dish_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Portion_Unit,Calories_Portion
paneer pakora/pakoda,718.1218872070312,3.270359516143799,76.05168151855469,5.5248703956604,plate,4644.453125
potato bonda (aloo bonda),632.8350219726562,1.0886664390563965,67.79877471923828,4.534309387207031,bonda,1134.087890625
potato samosa (aloo ka samosa),577.3856811523438,1.7117836475372314,59.1909294128418,9.205666542053223,samosa,813.7577514648438
minced meat samosa (keema ka samosa),620.9884643554688,4.42531156539917,64.26115417480469,6.137866973876953,samosa,837.5064697265625
paneer and pea samosa (paneer matar ka samosa),623.8062744140625,4.0177483558654785,63.64622116088867,8.548890113830566,samosa,841.3067016601562
mathri,805.1233520507812,1.74962317943573,83.09709930419922,12.323095321655273,kachori,702.1825561523438
khasta kachori,712.728759765625,2.5087974071502686,72.27396392822266,12.81132984161377,kachori,717.5651245117188
vegetable cutlet,665.4544067382812,1.2467005252838135,71.32704162597656,4.684823989868164,cutlet,2247.572265625
flattened rice cutlet (chirwa cutlet/chivda cutlet/poha cutlet),701.711181640625,1.755823016166687,73.88726806640625,7.394248008728027,cutlet,2325.0146484375
peanut cutlet (mungfali ke cutlet),698.7667236328125,2.627135992050171,74.00220489501953,5.675396919250488,cutlet,2367.666259765625
fish cutlet (machli ka cutlet),654.64013671875,2.768209457397461,70.10616302490234,3.1296799182891846,cutlet,2284.43212890625
paneer potato cutlet (paneer aloo cutlet),672.9443359375,2.4702839851379395,71.40327453613281,5.228550434112549,cutlet,2309.88134765625
spinach chickpeas cutlet (palak channa dal cutlet),688.0281372070312,1.440955400466919,73.59933471679688,4.932109355926514,cutlet,2255.59716796875
cheese toast,785.366943359375,1.9840171337127686,84.1091079711914,5.485180854797363,toast,1138.7821044921875
vegetable burger,519.9310913085938,3.2628092765808105,50.631317138671875,13.688063621520996,burger,2678.94482421875
cheese pizza,249.49737548828125,5.79115629196167,12.434843063354492,30.62497901916504,piece,327.0972900390625
vegetable seekh kebab,690.7252197265625,1.5730364322662354,73.72038269042969,5.323051452636719,kabab,1136.381103515625
masala vada,826.0245971679688,1.6862210035324097,89.15479278564453,4.062221527099609,vada,2228.201416015625
peanut sago vada (sabudana mungfali vada),749.8857421875,1.0144987106323242,79.82255554199219,7.1394147872924805,vada,2291.538330078125
vegeterian scotch egg,681.66552734375,2.1630215644836426,72.77320861816406,4.642024040222168,piece,2277.34228515625
paneer shaslik/tikka,93.84956359863281,5.11279821395874,4.492904186248779,7.980454921722412,plate,411.68988037109375
peanut brittle (moongfali ki chikki),320.46295166015625,6.942639350891113,11.130456924438477,47.46446990966797,piece,78.91400146484375
spring roll,623.8739624023438,1.8053548336029053,64.63278198242188,8.558433532714844,spring roll,587.3851318359375
dry mango chutney (sookhe aam ki chutney),298.1324462890625,2.434478282928467,0.6982401013374329,69.17044830322266,tablespoon,82.58268737792969
peanut chutney (mungfali ki chutney),258.36676025390625,11.795147895812988,19.064098358154297,9.865445137023926,tablespoon,54.25701904296875
coconut chutney (nariyal ki chutney),265.9245910644531,3.5900650024414062,24.999113082885742,8.291091918945312,tablespoon,67.36534881591797
mint and coriander chutney (pudinay aur dhaniye ki chutney),102.5953140258789,2.8133883476257324,0.5068815350532532,21.182279586791992,tablespoon,26.977436065673828
custard tart,225.59930419921875,3.7231037616729736,10.725021362304688,28.65911102294922,tart,161.72650146484375
lemon tart,303.35260009765625,6.117336273193359,17.448450088500977,30.683582305908203,tart,165.1375732421875
jam tart,360.7218017578125,4.4186530113220215,17.351295471191406,46.17616653442383,tart,130.53619384765625
orange cream tart,197.15927124023438,2.577662467956543,8.721904754638672,27.434804916381836,tart,142.3243408203125
pineapple tart,195.404296875,2.287935256958008,8.214736938476562,28.618947982788086,tart,150.82769775390625
cheese and mushroom tart,246.09642028808594,5.5084943771362305,15.28492546081543,21.42671012878418,tart,165.49984741210938
cottage cheese pie,238.97972106933594,7.4481587409973145,13.827022552490234,20.660694122314453,pie,813.32763671875
minced meat pie,221.5529022216797,7.378210067749023,13.039274215698242,18.114713668823242,pie,783.9280395507812
apple cinnamon pie,258.734375,3.3514466285705566,12.205469131469727,33.6783332824707,slice,458.28326416015625
